FID,IID,F1,F2
1,11,-0.037,NA
2,22,-0.015,NA
3,31,-0.133,NA
5,51,0.245,NA
5,52,-0.082,NA
7,72,-0.465,NA
8,81,-0.026,NA
8,82,-0.225,NA
9,91,-0.492,0
14,141,0.269,NA
14,142,0.279,NA
16,161,-0.506,NA
16,162,-0.034,NA
18,181,-0.235,NA
18,182,0.486,NA
19,192,0.329,-0.28
21,211,0.141,0.137
21,212,-0.356,NA
22,221,0.072,0.362
24,242,0.119,0.342
25,251,-0.212,NA
30,302,-0.101,NA
32,321,-0.174,-0.451
34,341,-0.397,NA
34,342,0.137,NA
35,351,0.059,0.282
37,371,0.053,0.261
38,381,-0.976,NA
39,392,0.14,NA
43,432,0.084,-0.22
44,441,-0.577,1.269
44,442,-0.044,NA
47,472,-0.175,NA
48,481,-0.694,0.357
48,482,-0.666,0.483
49,492,-0.077,NA
49,492,-0.281,NA
50,501,0,NA
50,502,-0.554,NA
51,511,0.163,0.321
52,521,-0.033,NA
53,532,-0.236,NA
54,542,-0.166,NA
56,561,-0.243,NA
57,572,-0.241,NA
58,581,-0.099,NA
58,582,-0.12,NA
59,591,-0.042,NA
59,592,-0.492,NA
60,601,-0.196,NA
61,612,-0.141,0.031
62,621,-0.374,NA
62,622,0.032,NA
66,661,-0.109,-0.641
69,691,-0.074,NA
72,721,0.319,NA
72,722,0.067,NA
71,711,-0.026,NA
76,761,0.096,-0.641
76,762,-0.251,0.05
81,812,0.001,NA
83,831,-0.669,-1.142
83,832,-0.015,NA
84,841,0.283,-0.24
86,861,0.118,NA
86,862,-0.257,-0.644
89,892,0.24,NA
91,911,0.104,NA
91,912,0.154,NA
92,921,-0.422,NA
92,922,0.004,-0.632
93,931,0.133,0.339
94,941,0.201,NA
94,942,-0.023,NA
96,961,0.536,NA
96,962,-0.268,NA
97,971,0.032,NA
97,972,-0.471,NA
99,991,-0.377,NA
100,1001,0.371,NA
100,1002,-0.448,-0.135
102,1021,-0.357,NA
103,1031,-0.422,NA
103,1032,-0.239,NA
104,1041,-0.256,0.988
104,1042,0.052,0.879
